History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,SHEL - Shell plc,0.05,,4968,$70.45,"$350,000",,$71.45,1.42%,$57.35,$73.04,Christopher Bloomstran - Semper Augustus,1
≡,FLEX - Flex Ltd.,0.04,Buy,5090,$49.90,"$254,000",,$49.77,-0.26%,$25.11,$53.97,Christopher Bloomstran - Semper Augustus,1
≡,SYF - Synchrony Financial,0.04,,4437,$66.71,"$296,000",,$71.59,7.32%,$40.15,$73.44,Christopher Bloomstran - Semper Augustus,1
≡,BABA - Alibaba Group Holdings,12.43,Reduce 23.43%,7067271,$113.41,"$801,499,000",,$119.99,5.80%,$77.89,$145.97,David Tepper - Appaloosa Management,1
≡,UNH - United Health Group Inc.,11.85,Add 1300.00%,2450000,$311.97,"$764,327,000",,$304.24,-2.48%,$234.60,$621.24,David Tepper - Appaloosa Management,1
≡,AMZN - Amazon.com Inc.,9.19,Add 7.57%,2700000,$219.39,"$592,353,000",,$228.01,3.93%,$161.38,$242.52,David Tepper - Appaloosa Management,1
≡,VST - Vistra Corp.,5.41,Reduce 21.74%,1800000,$193.81,"$348,858,000",,$193.52,-0.15%,$72.39,$216.85,David Tepper - Appaloosa Management,1
≡,NRG - NRG Energy Inc.,4.93,Reduce 3.41%,1980000,$160.58,"$317,948,000",,$148.38,-7.60%,$74.96,$175.96,David Tepper - Appaloosa Management,1
≡,META - Meta Platforms Inc.,4.58,Reduce 27.27%,400000,$738.09,"$295,236,000",,$751.48,1.81%,$479.43,$796.25,David Tepper - Appaloosa Management,1
≡,NVDA - NVIDIA Corp.,4.29,Add 483.33%,1750000,$157.99,"$276,483,000",,$175.64,11.17%,$86.61,$184.48,David Tepper - Appaloosa Management,1
≡,GOOG - Alphabet Inc. CL C,4.13,Reduce 25.37%,1500000,$177.39,"$266,085,000",,$202.49,14.15%,$142.49,$208.21,David Tepper - Appaloosa Management,1
≡,UBER - Uber Technologies Inc.,3.98,Reduce 14.06%,2750000,$93.30,"$256,575,000",,$95.32,2.17%,$59.33,$97.72,David Tepper - Appaloosa Management,1
≡,MSFT - Microsoft Corp.,3.86,Reduce 1.96%,500000,$497.41,"$248,705,000",,$509.77,2.48%,$344.16,$555.45,David Tepper - Appaloosa Management,1
≡,TSM - Taiwan Semiconductor S.A.,3.6,Add 279.63%,1025000,$226.49,"$232,152,000",,$232.70,2.74%,$133.78,$248.28,David Tepper - Appaloosa Management,1
≡,JD - JD.com Inc.,3.54,Reduce 13.04%,7000000,$32.64,"$228,480,000",,$31.24,-4.29%,$24.52,$46.45,David Tepper - Appaloosa Management,1
≡,PDD - Pinduoduo Inc.,3.25,Reduce 54.23%,2000000,$104.66,"$209,320,000",,$119.07,13.77%,$87.11,$155.67,David Tepper - Appaloosa Management,1
≡,INTC - Intel Corp.,2.78,Buy,8000000,$22.40,"$179,200,000",,$25.31,12.99%,$17.67,$27.55,David Tepper - Appaloosa Management,1
≡,KWEB - Kraneshares Csi China Intern,2.13,,4000000,$34.33,"$137,320,000",,$37.14,8.19%,$23.86,$38.39,David Tepper - Appaloosa Management,1
≡,LYFT - Lyft Inc.,1.96,Reduce 11.11%,8000000,$15.76,"$126,080,000",,$15.57,-1.21%,$9.66,$19.07,David Tepper - Appaloosa Management,1
≡,DB - Deutsche Bank AG,1.82,Add 6.67%,4000000,$29.28,"$117,120,000",,$36.36,24.18%,$14.79,$36.99,David Tepper - Appaloosa Management,1
≡,MU - Micron Technology Inc.,1.58,Add 106.25%,825000,$123.25,"$101,681,000",,$122.05,-0.97%,$61.48,$129.73,David Tepper - Appaloosa Management,1
≡,GLW - Corning Inc.,1.43,Add 0.37%,1750000,$52.59,"$92,033,000",,$64.52,22.68%,$37.10,$66.50,David Tepper - Appaloosa Management,1
≡,ET - Energy Transfer LP,1.39,,4957235,$18.13,"$89,875,000",,$17.35,-4.30%,$14.06,$20.32,David Tepper - Appaloosa Management,1
≡,LHX - L3Harris Technologies Inc.,1.36,Add 16.67%,350000,$250.84,"$87,794,000",,$272.23,8.53%,$191.09,$280.52,David Tepper - Appaloosa Management,1
≡,RTX - RTX Corp.,1.32,Buy,585000,$146.02,"$85,422,000",,$153.66,5.23%,$111.21,$158.09,David Tepper - Appaloosa Management,1
≡,CZR - Caesars Entertainment,0.92,Reduce 4.55%,2100000,$28.39,"$59,619,000",,$25.28,-10.95%,$21.40,$45.93,David Tepper - Appaloosa Management,1
≡,ASML - ASML Holding NV,0.87,,70000,$801.39,"$56,097,000",,$743.61,-7.21%,$575.26,$935.58,David Tepper - Appaloosa Management,1
≡,QCOM - QUALCOMM Inc.,0.86,,350000,$159.26,"$55,741,000",,$156.25,-1.89%,$120.08,$179.10,David Tepper - Appaloosa Management,1
≡,BIDU - Baidu Inc.,0.83,Reduce 19.35%,625000,$85.76,"$53,600,000",,$89.07,3.86%,$74.71,$116.25,David Tepper - Appaloosa Management,1
≡,IQV - IQVIA Holdings Inc.,0.73,Buy,300000,$157.59,"$47,277,000",,$192.35,22.06%,$134.65,$252.88,David Tepper - Appaloosa Management,1
≡,UAL - United Airlines Holdings Inc.,0.68,Buy,550000,$79.63,"$43,797,000",,$102.19,28.33%,$40.96,$116.00,David Tepper - Appaloosa Management,1
≡,XYZ - Block Inc.,0.68,Add 755.73%,641800,$67.93,"$43,597,000",,$74.30,9.38%,$44.27,$99.26,David Tepper - Appaloosa Management,1
≡,LRCX - Lam Research,0.6,Reduce 20.00%,400000,$97.34,"$38,936,000",,$100.33,3.07%,$56.18,$108.02,David Tepper - Appaloosa Management,1
≡,FXI - Ishares China Large Cap ETF,0.57,Reduce 82.14%,1000000,$36.76,"$36,760,000",,$38.22,3.97%,$24.57,$39.14,David Tepper - Appaloosa Management,1
≡,ORCL - Oracle Corp.,0.51,Reduce 78.57%,150000,$218.63,"$32,795,000",,$234.62,7.31%,$118.18,$260.87,David Tepper - Appaloosa Management,1
≡,MPLX - MPLX LP,0.46,,578500,$51.51,"$29,799,000",,$49.63,-3.65%,$38.72,$52.82,David Tepper - Appaloosa Management,1
≡,DAL - Delta Air Lines Inc.,0.42,Buy,550000,$49.18,"$27,049,000",,$60.50,23.02%,$34.51,$69.36,David Tepper - Appaloosa Management,1
≡,WHR - Whirlpool Corp.,0.42,Buy,266092,$101.42,"$26,987,000",,$89.57,-11.68%,$72.18,$130.39,David Tepper - Appaloosa Management,1
≡,BEKE - KE Holdings Inc.,0.41,Reduce 21.05%,1500000,$17.74,"$26,610,000",,$18.00,1.47%,$13.01,$25.51,David Tepper - Appaloosa Management,1
≡,GT - Goodyear Tire & Rubber,0.14,Buy,861782,$10.37,"$8,937,000",,$8.50,-18.03%,$7.27,$12.03,David Tepper - Appaloosa Management,1
≡,MHK - Mohawk Industries,0.11,Buy,65000,$104.85,"$6,815,000",,$127.79,21.88%,$96.24,$164.29,David Tepper - Appaloosa Management,1
≡,CHTR - Charter Communications,24.89,,200162,$408.81,"$81,828,000",,$267.01,-34.69%,$254.67,$437.06,Tom Bancroft - Makaira Partners,1
≡,BBWI - Bath & Body Works Inc.,16.76,Add 12.20%,1839039,$29.96,"$55,098,000",,$29.82,-0.47%,$24.77,$41.56,Tom Bancroft - Makaira Partners,1
≡,FLUT - Flutter Entertainment Plc,9.25,,106422,$285.76,"$30,411,000",,$290.76,1.75%,$196.88,$313.69,Tom Bancroft - Makaira Partners,1
≡,DPZ - Dominos Pizza Inc.,8.9,,64964,$450.60,"$29,273,000",,$450.56,-0.01%,$390.20,$497.15,Tom Bancroft - Makaira Partners,1
≡,CDW - CDW Corp.,8.44,,155305,$178.59,"$27,736,000",,$167.58,-6.16%,$136.84,$229.02,Tom Bancroft - Makaira Partners,1
≡,LAMR - Lamar Advertising Co.,8.28,,224260,$121.36,"$27,216,000",,$120.55,-0.67%,$98.54,$134.38,Tom Bancroft - Makaira Partners,1
≡,BELFB - Bel Fuse Inc. CL B,7.31,,245999,$97.69,"$24,032,000",,$127.80,30.82%,$57.90,$136.56,Tom Bancroft - Makaira Partners,1
≡,KMX - CarMax Inc.,5.57,,272203,$67.21,"$18,295,000",,$59.38,-11.65%,$54.53,$91.25,Tom Bancroft - Makaira Partners,1
≡,WHD - Cactus Inc.,4.75,Add 50.63%,357030,$43.72,"$15,609,000",,$39.29,-10.13%,$33.69,$69.48,Tom Bancroft - Makaira Partners,1
≡,SVV - Savers Value Village Inc,3.35,,1078437,$10.20,"$11,000,000",,$11.66,14.31%,$6.48,$11.97,Tom Bancroft - Makaira Partners,1
≡,LMB - Limbach Holdings Inc.,2.23,Buy,52239,$140.11,"$7,319,000",,$115.48,-17.58%,$58.91,$154.05,Tom Bancroft - Makaira Partners,1
≡,HEI.A - HEICO Corp. CL A,0.17,,2171,$258.87,"$562,000",,$237.82,-8.13%,$174.74,$264.71,Tom Bancroft - Makaira Partners,1
≡,BELFA - Bel Fuse Inc. CL A,0.11,,4001,$89.73,"$359,000",,$107.94,20.29%,$53.87,$119.30,Tom Bancroft - Makaira Partners,1
≡,NVDA - NVIDIA Corp.,7.18,Add 4.61%,2960996,$157.99,"$467,808,000",,$175.64,11.17%,$86.61,$184.48,Lee Ainslie - Maverick Capital,1
≡,AMZN - Amazon.com Inc.,6.94,Add 5.52%,2060443,$219.39,"$452,041,000",,$228.01,3.93%,$161.38,$242.52,Lee Ainslie - Maverick Capital,1
≡,TSM - Taiwan Semiconductor S.A.,6.12,Add 20.70%,1760017,$226.49,"$398,626,000",,$232.70,2.74%,$133.78,$248.28,Lee Ainslie - Maverick Capital,1
≡,MSFT - Microsoft Corp.,5.75,Add 80.89%,753404,$497.41,"$374,751,000",,$509.77,2.48%,$344.16,$555.45,Lee Ainslie - Maverick Capital,1
≡,NU - Nu Holdings Ltd,4.58,Add 30.21%,21737851,$13.72,"$298,243,000",,$13.12,-4.37%,$9.01,$16.15,Lee Ainslie - Maverick Capital,1
≡,PM - Philip Morris Intl.,4.14,Reduce 3.46%,1481478,$182.13,"$269,822,000",,$168.77,-7.34%,$113.63,$185.29,Lee Ainslie - Maverick Capital,1
≡,NTRA - Natera Inc.,3.86,Reduce 8.87%,1489707,$168.94,"$251,671,000",,$160.12,-5.22%,$110.57,$183.00,Lee Ainslie - Maverick Capital,1
≡,COF - Capital One Financial,3.64,Add 134.71%,1114960,$212.76,"$237,219,000",,$214.62,0.87%,$129.97,$231.82,Lee Ainslie - Maverick Capital,1
≡,KVUE - Kenvue Inc,3.34,Add 22.93%,10408055,$20.93,"$217,841,000",,$21.49,2.68%,$19.20,$24.72,Lee Ainslie - Maverick Capital,1
≡,DIS - Walt Disney Co.,2.87,Buy,1508487,$124.01,"$187,067,000",,$116.27,-6.24%,$79.76,$124.69,Lee Ainslie - Maverick Capital,1
≡,AMD - Advanced Micro Devices,2.55,Add 5864.30%,1172044,$141.90,"$166,313,000",,$166.55,17.37%,$76.48,$186.65,Lee Ainslie - Maverick Capital,1
≡,BAC - Bank of America Corp.,2.32,Reduce 12.28%,3197214,$47.32,"$151,292,000",,$48.08,1.61%,$32.87,$49.31,Lee Ainslie - Maverick Capital,1
≡,CCL - Carnival Corp.,2.32,Add 15.56%,5376870,$28.12,"$151,198,000",,$29.57,5.16%,$15.07,$31.01,Lee Ainslie - Maverick Capital,1
≡,SWX - Southwest Gas Holdings Inc.,2.28,Add 9.15%,1993671,$74.39,"$148,309,000",,$76.62,3.00%,$63.60,$79.91,Lee Ainslie - Maverick Capital,1
≡,GFL - Gfl Environmental Inc Sub Vt,2.17,Reduce 34.90%,2800456,$50.46,"$141,311,000",,$49.80,-1.31%,$38.73,$51.98,Lee Ainslie - Maverick Capital,1
≡,MU - Micron Technology Inc.,2.08,Add 35.56%,1096930,$123.25,"$135,197,000",,$122.05,-0.97%,$61.48,$129.73,Lee Ainslie - Maverick Capital,1
≡,MMSI - Merit Medical Systems Inc.,1.98,Add 8.40%,1379408,$93.48,"$128,947,000",,$87.15,-6.77%,$81.04,$111.45,Lee Ainslie - Maverick Capital,1
≡,SNOW - Snowflake Inc.,1.86,Reduce 7.99%,540079,$223.77,"$120,853,000",,$192.63,-13.92%,$107.13,$229.27,Lee Ainslie - Maverick Capital,1
≡,MIR - Mirion Technologies Inc,1.75,Reduce 34.11%,5308038,$21.53,"$114,282,000",,$19.79,-8.08%,$9.11,$22.80,Lee Ainslie - Maverick Capital,1
≡,CART - Maplebear Inc,1.51,Add 19.97%,2168964,$45.24,"$98,124,000",,$46.50,2.79%,$32.18,$53.50,Lee Ainslie - Maverick Capital,1
≡,ALAB - Astera Labs Inc,1.43,,1032441,$90.42,"$93,353,000",,$171.06,89.18%,$36.85,$199.47,Lee Ainslie - Maverick Capital,1
≡,HII - Huntington Ingalls Industries,1.43,Buy,386533,$241.46,"$93,332,000",,$265.40,9.91%,$156.70,$293.14,Lee Ainslie - Maverick Capital,1
≡,FLUT - Flutter Entertainment Plc,1.3,Add 29.40%,296012,$285.76,"$84,588,000",,$290.76,1.75%,$196.88,$313.69,Lee Ainslie - Maverick Capital,1
≡,INSM - Insmed Inc.,1.24,Add 89.15%,804133,$100.64,"$80,928,000",,$127.21,26.40%,$60.40,$130.13,Lee Ainslie - Maverick Capital,1
≡,WBD - Warner Bros. Discovery Inc.,1.2,Buy,6797230,$11.46,"$77,896,000",,$11.56,0.87%,$6.78,$13.87,Lee Ainslie - Maverick Capital,1
≡,DHR - Danaher Corp.,1.13,Reduce 46.74%,372126,$197.54,"$73,510,000",,$212.20,7.42%,$170.73,$278.43,Lee Ainslie - Maverick Capital,1
≡,TEVA - Teva Pharmaceutical Industries Ltd.,1.13,Add 14351.64%,4377690,$16.76,"$73,370,000",,$17.56,4.77%,$12.47,$22.80,Lee Ainslie - Maverick Capital,1
≡,PRMB - Primo Brands Corp,1.11,Add 25.35%,2431869,$29.62,"$72,032,000",,$24.82,-16.21%,$22.64,$35.73,Lee Ainslie - Maverick Capital,1
≡,UNH - United Health Group Inc.,1.08,Add 53.93%,226153,$311.97,"$70,553,000",,$304.24,-2.48%,$234.60,$621.24,Lee Ainslie - Maverick Capital,1
≡,DDOG - DATADOG Inc.,1.06,Buy,516079,$134.33,"$69,325,000",,$128.99,-3.98%,$81.63,$170.08,Lee Ainslie - Maverick Capital,1
≡,SGI - Somnigroup International Inc.,1.04,Reduce 4.43%,994560,$68.05,"$67,680,000",,$81.38,19.59%,$46.91,$81.77,Lee Ainslie - Maverick Capital,1
≡,CPNG - Coupang Inc.,0.97,Reduce 3.51%,2102777,$29.96,"$62,999,000",,$28.85,-3.70%,$19.02,$31.65,Lee Ainslie - Maverick Capital,1
≡,ACHC - Acadia Healthcare Co.,0.89,Add 13.63%,2553237,$22.69,"$57,933,000",,$21.59,-4.85%,$17.13,$82.41,Lee Ainslie - Maverick Capital,1
≡,GAP - Gap Inc.,0.84,Reduce 9.41%,2502118,$21.81,"$54,571,000",,$20.71,-5.04%,$16.71,$29.08,Lee Ainslie - Maverick Capital,1
≡,LULU - Lululemon Athletica Inc.,0.83,Reduce 39.00%,227110,$237.58,"$53,957,000",,$197.66,-16.80%,$185.95,$423.32,Lee Ainslie - Maverick Capital,1
≡,WVE - Wave Life Sciences Ltd.,0.82,,8261683,$6.50,"$53,701,000",,$9.51,46.31%,$5.04,$16.74,Lee Ainslie - Maverick Capital,1
≡,VRNA - Verona Pharma Plc ADR,0.76,Reduce 70.74%,521859,$94.58,"$49,357,000",,$105.56,11.61%,$24.50,$105.85,Lee Ainslie - Maverick Capital,1
≡,LLY - Eli Lilly & Co.,0.71,Buy,58901,$779.53,"$45,915,000",,$703.21,-9.79%,$622.41,$965.15,Lee Ainslie - Maverick Capital,1
≡,EVR - Evercore Inc.,0.7,Buy,169745,$270.02,"$45,835,000",,$301.83,11.78%,$148.10,$320.98,Lee Ainslie - Maverick Capital,1
≡,MELI - Mercadolibre Inc.,0.7,Reduce 7.57%,17492,$2613.65,"$45,718,000",,$2342.94,-10.36%,$1646.00,$2645.22,Lee Ainslie - Maverick Capital,1
≡,CRWV - Coreweave Inc Cl A,0.67,Reduce 68.93%,267740,$163.06,"$43,658,000",,$92.89,-43.03%,$33.52,$187.00,Lee Ainslie - Maverick Capital,1
≡,PCVX - Vaxcyte Inc.,0.65,Add 8.49%,1310605,$32.51,"$42,608,000",,$31.73,-2.40%,$27.66,$121.06,Lee Ainslie - Maverick Capital,1
≡,RBLX - Roblox Corp.,0.64,Buy,394875,$105.20,"$41,541,000",,$118.28,12.43%,$37.50,$150.59,Lee Ainslie - Maverick Capital,1
≡,LPLA - LPL Financial Holdings Inc.,0.57,Reduce 68.98%,99507,$374.97,"$37,312,000",,$351.28,-6.32%,$203.69,$403.23,Lee Ainslie - Maverick Capital,1
≡,VRDN - Viridian Therapeutics Inc.,0.48,Add 9.50%,2257010,$13.98,"$31,553,000",,$17.81,27.40%,$9.90,$27.20,Lee Ainslie - Maverick Capital,1
≡,NAMS - Newamsterdam Pharma Co Nv,0.43,Add 178.79%,1531874,$18.11,"$27,742,000",,$24.45,35.01%,$14.06,$27.29,Lee Ainslie - Maverick Capital,1
≡,SAIL - Sailpoint Inc,0.34,,966050,$22.86,"$22,084,000",,$19.66,-14.00%,$15.05,$26.35,Lee Ainslie - Maverick Capital,1
≡,RCKT - Rocket Pharmaceuticals Inc.,0.31,Add 60.87%,8363813,$2.45,"$20,491,000",,$2.91,18.78%,$2.19,$22.01,Lee Ainslie - Maverick Capital,1
≡,EVH - Evolent Health Inc.,0.24,Buy,1392524,$11.26,"$15,680,000",,$9.00,-20.07%,$7.06,$33.63,Lee Ainslie - Maverick Capital,1
≡,HLT - Hilton Worldwide Holdings,0.13,Buy,33004,$266.33,"$8,790,000",,$271.73,2.03%,$195.92,$279.46,Lee Ainslie - Maverick Capital,1
≡,OLLI - Ollie's Bargain Outlet Hldgs,0.13,Reduce 6.43%,65436,$131.78,"$8,623,000",,$135.54,2.85%,$86.29,$141.74,Lee Ainslie - Maverick Capital,1
≡,SHAK - Shake Shack Inc.,0.13,Buy,61138,$140.60,"$8,596,000",,$104.52,-25.66%,$72.93,$144.65,Lee Ainslie - Maverick Capital,1
≡,GUTS - Fractyl Health Inc,0.11,,4248492,$1.62,"$6,883,000",,$0.99,-38.89%,$0.83,$3.72,Lee Ainslie - Maverick Capital,1
≡,IVVD - Invivyd Inc.,0.11,Reduce 6.66%,10229118,$0.72,"$7,314,000",,$0.57,-20.83%,$0.35,$2.74,Lee Ainslie - Maverick Capital,1
≡,LOW - Lowe's Cos.,0.11,Buy,31880,$221.86,"$7,073,000",,$256.36,15.55%,$204.22,$281.56,Lee Ainslie - Maverick Capital,1
≡,DPZ - Dominos Pizza Inc.,0.1,Reduce 45.14%,13907,$450.56,"$6,266,000",,$450.56,0.00%,$390.20,$497.15,Lee Ainslie - Maverick Capital,1
≡,CHWY - Chewy Inc.,0.09,Reduce 34.45%,131653,$42.62,"$5,611,000",,$40.95,-3.92%,$25.19,$48.62,Lee Ainslie - Maverick Capital,1
≡,CNK - Cinemark Holdings Inc.,0.09,Buy,192189,$30.18,"$5,800,000",,$26.47,-12.29%,$23.06,$36.07,Lee Ainslie - Maverick Capital,1
≡,SMA - Smartstop Self Storage Reit,0.09,Buy,161950,$36.23,"$5,867,000",,$35.09,-3.15%,$29.44,$37.63,Lee Ainslie - Maverick Capital,1
≡,DOCU - DocuSign Inc.,0.08,Buy,65829,$77.88,"$5,127,000",,$70.88,-8.99%,$54.32,$107.86,Lee Ainslie - Maverick Capital,1
≡,EFX - Equifax Inc.,0.08,Buy,19728,$259.38,"$5,117,000",,$249.91,-3.65%,$199.60,$308.07,Lee Ainslie - Maverick Capital,1
≡,ORLY - O'Reilly Automotive,0.08,Buy,56039,$90.13,"$5,051,000",,$103.06,14.35%,$73.11,$104.86,Lee Ainslie - Maverick Capital,1
≡,TSCO - Tractor Supply,0.08,Buy,100119,$52.77,"$5,283,000",,$62.28,18.02%,$46.64,$63.99,Lee Ainslie - Maverick Capital,1
≡,ALL - Allstate Corp.,0.07,Buy,21391,$201.30,"$4,306,000",,$210.38,4.51%,$174.74,$212.16,Lee Ainslie - Maverick Capital,1
≡,ARHS - Arhaus Inc,0.07,Buy,541052,$8.67,"$4,691,000",,$12.57,44.98%,$6.61,$13.97,Lee Ainslie - Maverick Capital,1
≡,BLMN - Bloomin Brands Inc.,0.07,Add 6.75%,563966,$8.61,"$4,856,000",,$7.39,-14.17%,$5.86,$17.39,Lee Ainslie - Maverick Capital,1
≡,CMG - Chipotle Mexican Grill Inc.,0.07,Buy,78910,$56.15,"$4,431,000",,$43.25,-22.97%,$41.18,$66.74,Lee Ainslie - Maverick Capital,1
≡,CPRI - Capri Holdings Ltd,0.07,Reduce 3.37%,268392,$17.70,"$4,751,000",,$20.08,13.45%,$11.86,$43.34,Lee Ainslie - Maverick Capital,1
≡,DIN - Dine Brands Global Inc.,0.07,Add 18.82%,183917,$24.33,"$4,475,000",,$21.65,-11.02%,$18.28,$35.37,Lee Ainslie - Maverick Capital,1
≡,FWRG - First Watch Restaurant Group,0.07,Buy,278075,$16.04,"$4,460,000",,$17.28,7.73%,$12.90,$22.71,Lee Ainslie - Maverick Capital,1
≡,GOOGL - Alphabet Inc.,0.07,Buy,26637,$176.22,"$4,694,000",,$201.57,14.39%,$140.36,$206.56,Lee Ainslie - Maverick Capital,1
≡,GPC - Genuine Parts,0.07,Reduce 40.70%,39391,$121.32,"$4,779,000",,$138.75,14.37%,$103.16,$140.80,Lee Ainslie - Maverick Capital,1
≡,HD - Home Depot,0.07,Buy,12454,$366.63,"$4,566,000",,$407.20,11.07%,$324.29,$431.63,Lee Ainslie - Maverick Capital,1
